Unnamed: 0,Name,Date & Time,Location,Type,Region,Latitude,Longitude,weather,temperature,wind_speed,wind_direction
15,Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,10 mph,S
16,Tacoma Home + Garden Show,Now through 1/28/2024,Tacoma Dome,Festivals & Special Events,South,,,Rain,53,8 to 12 mph,S
17,Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,Rain,53,8 to 12 mph,S
18,Black and Boujee Panel Discussion,1/28/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,,Rain,53,8 to 12 mph,S
19,Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
20,Django’s Birthday Concert with Ranger and the Re-Arrangers,1/28/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,Rain,53,8 to 12 mph,S
21,Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,Rain,53,8 to 12 mph,S
22,Fossil Finders | Ice Ages,1/28/2024,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,Rain,53,8 to 12 mph,S
23,Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,8 to 12 mph,S
24,Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,,,Rain,53,8 to 12 mph,S
25,Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082916,Rain,53,8 to 12 mph,S
26,"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,Rain,53,8 to 12 mph,S
27,Walla Walla Wine On Tour,1/29/2024,Marion Oliver McCaw Hall,Festivals & Special Events,Queen Anne / Seattle Center,47.62397705,-122.35038850536958,Rain,53,8 to 12 mph,S
28,Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685,Rain,53,8 to 12 mph,S
29,Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,Rain,53,8 to 12 mph,S
30,Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,,,Rain,53,8 to 12 mph,S
31,A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Rain,52,8 to 12 mph,S
32,Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Rain,52,8 to 12 mph,S
33,Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,8 to 12 mph,S
34,FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,Rain,53,8 to 12 mph,S
35,G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,,,Rain,53,8 to 12 mph,S
36,JP Saxe,1/31/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
37,Los Lobos,1/31/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685,Rain,53,8 to 12 mph,S
38,The Daimonics,1/31/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,Rain,53,8 to 12 mph,S
39,BabyTron,2/1/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,8 to 12 mph,S
40,Battlestar Kalakala,2/1/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,Rain,53,8 to 12 mph,S
41,Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,,Rain,53,8 to 12 mph,S
42,Exceptional Failures,2/1/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082916,Rain,53,8 to 12 mph,S
43,Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,Rain,53,8 to 12 mph,S
44,Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,,,Rain,53,8 to 12 mph,S
45,Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,,,Rain,53,8 to 12 mph,S
46,Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,,,Rain,53,8 to 12 mph,S
47,Public Theatre,2/1/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Rain,53,8 to 12 mph,S
48,American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,Rain,53,8 to 12 mph,S
49,Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Rain,53,8 to 12 mph,S
50,Memoir,2/2/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,8 to 12 mph,S
